skuid,skuPartNumber,skuDisplayName
efccb6f7-5641-4e0e-bd10-b4976e1bf68e,EMS,ENTERPRISE MOBILITY + SECURITY E3
b05e124f-c7cc-45a0-a6aa-8cf78c946968,EMSPREMIUM,ENTERPRISE MOBILITY + SECURITY E5
6fd2c87f-b296-42f0-b197-1e91e994b900,ENTERPRISEPACK,OFFICE 365 ENTERPRISE E3
,ENTERPRISEPACK_B_PILOT,Office 365 (Enterprise Preview)
,ENTERPRISEPACK_FACULTY,Office 365 (Plan A3) for Faculty
,ENTERPRISEPACK_GOV,Microsoft Office 365 (Plan G3) for Government
,ENTERPRISEPACK_STUDENT,Office 365 (Plan A3) for Students
b107e5a3-3e60-4c0d-a184-a7e4395eb44c,ENTERPRISEPACK_USGOV_DOD,Office 365 E3_USGOV_DOD
aea38a85-9bd5-4981-aa00-616b411205bf,ENTERPRISEPACK_USGOV_GCCHIGH,Office 365 E3_USGOV_GCCHIGH
,ENTERPRISEPACKLRG,Enterprise Plan E3
c7df2760-2c81-4ef7-b578-5b5392b571df,ENTERPRISEPREMIUM,OFFICE 365 ENTERPRISE E5
26d45bd9-adf1-46cd-a9e1-51e9a5524128,ENTERPRISEPREMIUM_NOPSTNCONF,OFFICE 365 ENTERPRISE E5 WITHOUT AUDIO CONFERENCING
1392051d-0cb9-4b7a-88d5-621fee5e8711,ENTERPRISEWITHSCAL,OFFICE 365 ENTERPRISE E4
,ENTERPRISEWITHSCAL_FACULTY,Office 365 (Plan A4) for Faculty
,ENTERPRISEWITHSCAL_GOV,Microsoft Office 365 (Plan G4) for Government
,ENTERPRISEWITHSCAL_STUDENT,Office 365 (Plan A4) for Students
,EOP_ENTERPRISE_FACULTY,Exchange Online Protection for Faculty
,EQUIVIO_ANALYTICS,Office 365 Advanced eDiscovery
,ESKLESSWOFFPACK_GOV,Microsoft Office 365 (Plan K2) for Government
34c0d7a0-a70f-4668-9238-47f9fc208882,EXCHANGE_ANALYTICS,EXCHANGE_ANALYTICS
90927877-dcff-4af6-b346-2332c0b15bb7,EXCHANGE_B_STANDARD,EXCHANGE ONLINE POP
,EXCHANGE_L_STANDARD,Exchange Online (Plan 1)
da040e0a-b393-4bea-bb76-928b3fa1cf5a,EXCHANGE_S_ARCHIVE,EXCHANGE ONLINE ARCHIVING FOR EXCHANGE SERVER
176a09a6-7ec5-4039-ac02-b2791c6ba793,EXCHANGE_S_ARCHIVE_ADDON,EXCHANGE ONLINE ARCHIVING FOR EXCHANGE ONLINE
,EXCHANGE_S_ARCHIVE_ADDON_GOV,Exchange Online Archiving
,EXCHANGE_S_DESKLESS,Exchange Online Kiosk
,EXCHANGE_S_DESKLESS_GOV,Exchange Kiosk
efb87545-963c-4e0d-99df-69c6916d9eb0,EXCHANGE_S_ENTERPRISE,EXCHANGE ONLINE (PLAN
,EXCHANGE_S_ENTERPRISE_GOV,Exchange Plan 2G
e8f81a67-bd96-4074-b108-cf193eb9433b,EXCHANGE_S_ESSENTIALS,EXCHANGE ONLINE ESSENTIALS
113feb6c-3fe4-4440-bddc-54d774bf0318,EXCHANGE_S_FOUNDATION,Exchange Foundation
9aaf7827-d63c-4b61-89c3-182f06f82e5c,EXCHANGE_S_STANDARD,EXCHANGE ONLINE (PLAN 1)
fc52cc4b-ed7d-472d-bbe7-b081c23ecc56,EXCHANGE_S_STANDARD_MIDMARKET,Exchange Online (Plan 1)
90b5e015-709a-4b8b-b08e-3200f994494c,EXCHANGEARCHIVE,EXCHANGE ONLINE ARCHIVING FOR EXCHANGE SERVER
ee02fd1b-340e-4a4b-b355-4a514e4c8943,EXCHANGEARCHIVE_ADDON,EXCHANGE ONLINE ARCHIVING FOR EXCHANGE ONLINE
80b2d799-d2ba-4d2a-8842-fb0d0f3a4b82,EXCHANGEDESKLESS,EXCHANGE ONLINE KIOSK
19ec0d23-8335-4cbd-94ac-6050e30712fa,EXCHANGEENTERPRISE,EXCHANGE ONLINE (PLAN 2)
,EXCHANGEENTERPRISE_GOV,Microsoft Office 365 Exchange Online (Plan 2) only for Government
7fc0182e-d107-4556-8329-7caaa511197b,EXCHANGEESSENTIALS,EXCHANGE ONLINE ESSENTIALS
4b9405b0-7788-4568-add1-99614e613b69,EXCHANGESTANDARD,EXCHANGE ONLINE (PLAN 1)
,EXCHANGESTANDARD_GOV,Microsoft Office 365 Exchange Online (Plan 1) only for Government
,EXCHANGESTANDARD_STUDENT,Exchange Online (Plan 1) for Students
cb0a98a8-11bc-494c-83d9-c1b1ac65327e,EXCHANGETELCO,EXCHANGE ONLINE POP
7e6d7d78-73de-46ba-83b1-6d25117334ba,FLOW_DYN_APPS,FLOW FOR DYNAMICS 365
b650d915-9886-424b-a08d-633cede56f57,FLOW_DYN_P2,POWERAPPS FOR DYNAMICS 365
1ec58c70-f69c-486a-8109-4b87ce86e449,FLOW_DYN_TEAM,FLOW FOR DYNAMICS 365
f30db892-07e9-47e9-837c-80727f46fd3d,FLOW_FREE,Microsoft Flow Free
0f9b09cb-62d1-4ff4-9129-43f4996f83f4,FLOW_O365_P1,FLOW FOR OFFICE 365
76846ad7-7776-4c40-a281-a386362dd1b9,FLOW_O365_P2,FLOW FOR OFFICE 365
07699545-9485-468e-95b6-2fca3738be01,FLOW_O365_P3,FLOW FOR OFFICE 365
bd91b1a4-9f94-4ecf-b45b-3a65e5c8128a,FLOW_O365_S1,FLOW FOR OFFICE 365 K1
b8c73455-4162-4c81-aa90-c9d93e9394e9,FLOW_P1,Microsoft Flow Plan 1
159f4cd6-e380-449f-a816-af1a9ef76344,FORMS_PLAN_E1,MICROSOFT FORMS (PLAN E1)
2789c901-c14e-48ab-a76a-be334d9d793a,FORMS_PLAN_E3,MICROSOFT FORMS (PLAN E3)
e212cbc7-0961-4c40-9825-01117710dcb1,FORMS_PLAN_E5,Microsoft Forms (Plan E5)
f07046bd-2a3c-4b96-b0be-dea79d7cbfb8,FORMS_PLAN_K,MICROSOFT FORMS (PLAN K)
bc946dac-7877-4271-b2f7-99d2db13cd2c,FORMS_PRO,Forms Pro Trial
c4801e8a-cb58-4c35-aca6-f2dcc106f287,INFORMATION_BARRIERS,Information Barriers
061f9ace-7d42-4136-88ac-31dc755f143f,INTUNE_A,INTUNE
882e1d05-acd1-4ccb-8708-6ee03664b117,INTUNE_O365,Mobile Device Management for Office 365
8e9ff0ff-aa7a-4b20-83c1-2f636b600ac2,INTUNE_SMBIZ,INTUNE_SMBIZ
ba9a34de-4489-469d-879c-0f0f145321cd,IT_ACADEMY_AD,MS IMAGINE ACADEMY
73b2a583-6a59-42e3-8e83-54db46bc3278,KAIZALA_O365_P1,Microsoft Kaizala Pro Plan 1
0898bdbb-73b0-471a-81e5-20f1fe4dd66e,KAIZALA_STANDALONE,Microsoft Kaizala
